date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:47:42	394/394	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2016%20Mar%202024%2016:47:42%20GMT	https://superbiden.xyz/robots.txt		(from )
11:47:42	62699/62699	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Mar%202024%2016:47:42%20GMT	https://superbiden.xyz/	C:/MYWEB/https___superbiden.xyz_/superbiden.xyz/index.html	(from )
11:47:42	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2016%20Mar%202024%2016:47:42%20GMT	http://superbiden.xyz/5b045782b4bf3e789eb551e81716bd26.png	C:/MYWEB/https___superbiden.xyz_/superbiden.xyz/5b045782b4bf3e789eb551e81716bd26.0.delayed	(from https://superbiden.xyz/)
11:47:42	804/804	---M--	200	added ('OK')	image/png	date:Sat,%2016%20Mar%202024%2016:47:42%20GMT	https://superbiden.xyz/5b045782b4bf3e789eb551e81716bd26.png	C:/MYWEB/https___superbiden.xyz_/superbiden.xyz/5b045782b4bf3e789eb551e81716bd26.png	(from https://superbiden.xyz/)
11:47:42	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2016%20Mar%202024%2016:47:42%20GMT	http://superbiden.xyz/edc73fde086098b3b65796ab1ee8069f.png	C:/MYWEB/https___superbiden.xyz_/superbiden.xyz/edc73fde086098b3b65796ab1ee8069f.png	(from https://superbiden.xyz/)
11:47:43	1775/1775	---M--	200	added ('OK')	image/png	date:Sat,%2016%20Mar%202024%2016:47:43%20GMT	https://superbiden.xyz/edc73fde086098b3b65796ab1ee8069f.png	C:/MYWEB/https___superbiden.xyz_/superbiden.xyz/edc73fde086098b3b65796ab1ee8069f.png	(from https://superbiden.xyz/)
11:47:43	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2016%20Mar%202024%2016:47:43%20GMT	http://superbiden.xyz/7a36e1e2be09210d977b0b2baa5d33c1.png	C:/MYWEB/https___superbiden.xyz_/superbiden.xyz/7a36e1e2be09210d977b0b2baa5d33c1.png	(from https://superbiden.xyz/)
11:47:43	26769/26769	---M--	200	added ('OK')	image/png	date:Sat,%2016%20Mar%202024%2016:47:43%20GMT	https://superbiden.xyz/7a36e1e2be09210d977b0b2baa5d33c1.png	C:/MYWEB/https___superbiden.xyz_/superbiden.xyz/7a36e1e2be09210d977b0b2baa5d33c1.png	(from https://superbiden.xyz/)
11:47:44	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2016%20Mar%202024%2016:47:44%20GMT	http://superbiden.xyz/fonts/63d841efb1b758ddc28f9b63a508b752.woff2	C:/MYWEB/https___superbiden.xyz_/superbiden.xyz/fonts/63d841efb1b758ddc28f9b63a508b752.woff2	(from https://superbiden.xyz/)
11:47:44	173636/173636	---M--	200	added ('OK')	image/png	date:Sat,%2016%20Mar%202024%2016:47:43%20GMT	https://superbiden.xyz//b2240b1f99e3f13c693d072a1251c2fa.png	C:/MYWEB/https___superbiden.xyz_/superbiden.xyz/b2240b1f99e3f13c693d072a1251c2fa.png	(from https://superbiden.xyz/)
11:47:45	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2016%20Mar%202024%2016:47:44%20GMT	http://superbiden.xyz/fonts/a5be6bb0710e4a5f439e10b89ab61986.woff2	C:/MYWEB/https___superbiden.xyz_/superbiden.xyz/fonts/a5be6bb0710e4a5f439e10b89ab61986.woff2	(from https://superbiden.xyz/)
11:47:45	136308/136308	---M--	200	added ('OK')	font/woff2	date:Sat,%2016%20Mar%202024%2016:47:44%20GMT	https://superbiden.xyz/fonts/63d841efb1b758ddc28f9b63a508b752.woff2	C:/MYWEB/https___superbiden.xyz_/superbiden.xyz/fonts/63d841efb1b758ddc28f9b63a508b752.woff2	(from https://superbiden.xyz/)
11:47:47	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2016%20Mar%202024%2016:47:45%20GMT	http://superbiden.xyz/fonts/aba862f96228fd00375144d674fe60f9.woff2	C:/MYWEB/https___superbiden.xyz_/superbiden.xyz/fonts/aba862f96228fd00375144d674fe60f9.woff2	(from https://superbiden.xyz/)
11:47:47	124268/124268	---M--	200	added ('OK')	font/woff2	date:Sat,%2016%20Mar%202024%2016:47:45%20GMT	https://superbiden.xyz/fonts/a5be6bb0710e4a5f439e10b89ab61986.woff2	C:/MYWEB/https___superbiden.xyz_/superbiden.xyz/fonts/a5be6bb0710e4a5f439e10b89ab61986.woff2	(from https://superbiden.xyz/)
11:47:48	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2016%20Mar%202024%2016:47:47%20GMT	http://superbiden.xyz/fonts/25601d3e8fee8ed656e551a70b8f78cf.woff2	C:/MYWEB/https___superbiden.xyz_/superbiden.xyz/fonts/25601d3e8fee8ed656e551a70b8f78cf.woff2	(from https://superbiden.xyz/)
11:47:48	115568/115568	---M--	200	added ('OK')	font/woff2	date:Sat,%2016%20Mar%202024%2016:47:47%20GMT	https://superbiden.xyz/fonts/aba862f96228fd00375144d674fe60f9.woff2	C:/MYWEB/https___superbiden.xyz_/superbiden.xyz/fonts/aba862f96228fd00375144d674fe60f9.woff2	(from https://superbiden.xyz/)
11:47:50	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2016%20Mar%202024%2016:47:48%20GMT	http://superbiden.xyz/fonts/226618464330c99b64fcaf1d7142c1e7.woff2	C:/MYWEB/https___superbiden.xyz_/superbiden.xyz/fonts/226618464330c99b64fcaf1d7142c1e7.woff2	(from https://superbiden.xyz/)
11:47:50	113560/113560	---M--	200	added ('OK')	font/woff2	date:Sat,%2016%20Mar%202024%2016:47:48%20GMT	https://superbiden.xyz/fonts/25601d3e8fee8ed656e551a70b8f78cf.woff2	C:/MYWEB/https___superbiden.xyz_/superbiden.xyz/fonts/25601d3e8fee8ed656e551a70b8f78cf.woff2	(from https://superbiden.xyz/)
11:47:52	51804/51804	---M--	200	added ('OK')	font/woff2	date:Sat,%2016%20Mar%202024%2016:47:50%20GMT	https://superbiden.xyz/fonts/226618464330c99b64fcaf1d7142c1e7.woff2	C:/MYWEB/https___superbiden.xyz_/superbiden.xyz/fonts/226618464330c99b64fcaf1d7142c1e7.woff2	(from https://superbiden.xyz/)
